@id,historic,name,lng,lat
"node/302325186","archaeological_site","undefined",-0.5805498,51.3715034
"node/302403737","archaeological_site","Uxama",-3.0947549,41.5750018
"node/302599601","archaeological_site","Wachturm Wp 7/6",9.2873963,49.688331
"node/302836003","archaeological_site","Vorstengraf",5.5668508,51.7329062
"node/303080509","archaeological_site","Clocher Des Augustins",4.8132887,43.950021
"node/303119852","archaeological_site","Grösseltal",8.619852,48.8431021
"node/303594468","archaeological_site","Alte Zeche Ana Ida",7.4324791,51.2001749
"node/303814391","archaeological_site","Warburg",10.9008119,52.1719294
"node/303900021","archaeological_site","Ringwall Eifgenburg",7.1435496,51.074556
"node/303934589","archaeological_site","Widdertshäuschen",6.580643,49.5674796
"node/304061821","archaeological_site","Römertherme",10.9581985,49.0306962
"node/304322449","archaeological_site","Burgstall Wartberg",11.5004138,49.7838679
"node/304338205","archaeological_site","Keltische Statue "Der Krieger von Hirschlanden"",9.0111775,48.8329473
"node/304556975","archaeological_site","Kaiserpfalz Werla",10.5550227,52.0382381
"node/304622249","archaeological_site","Isiburg",10.5764973,52.0177049
"node/305386365","archaeological_site","Römische Brennöfen",8.2774151,49.1156337
"node/305386367","archaeological_site","Napoleonssäulen",8.2772575,49.1156907
"node/305525909","archaeological_site","Römisches Hügelgrab",7.2120922,49.7368436
"node/305580192","archaeological_site","Caesar's Camp",0.0429538,51.3569041
"node/305668595","archaeological_site","Hügelgrab",8.4884936,47.4127998
"node/305934729","archaeological_site","Heidenstein",8.1616958,48.4179619
"node/307542766","archaeological_site","Dolmen du Nioul (ruine)",-2.8596979,47.560409
"node/307636697","archaeological_site","Babilonie",8.5776839,52.2743203
"node/307642900","archaeological_site","Fitzharry's Castle Mound",-1.283095,51.6748654
"node/307745656","archaeological_site","Römerbrunnen",7.4160039,49.949643
"node/307836233","archaeological_site","Alte Dampfmaschine",9.1546678,49.8403615
"node/307845094","archaeological_site","Horno de Alfareros",-3.958989,36.7276944
"node/307845115","archaeological_site","Fábrica San Miguel",-3.8805654,36.7488168
"node/308008445","archaeological_site","Oppidum Saint-Blaise",4.9827273,43.462026
"node/308122521","archaeological_site","Grabhügel",8.7209768,51.6385728
"node/308137369","archaeological_site","Menhir",-2.0674013,48.2946815
"node/308137394","archaeological_site","Menhir",-2.06429,48.2934612
"node/308137395","archaeological_site","Menhir",-2.0648405,48.2938961
"node/308966213","archaeological_site","undefined",-1.6861365,51.1292898
"node/308966300","archaeological_site","undefined",-1.6868367,51.1287625
"node/308966301","archaeological_site","undefined",-1.7032449,51.1231439
"node/308966302","archaeological_site","undefined",-1.6994163,51.1222986
"node/308966332","archaeological_site","undefined",-1.6884779,51.1155682
"node/308966333","archaeological_site","undefined",-1.6878973,51.116624
"node/308966334","archaeological_site","undefined",-1.685402,51.1142858
"node/308966335","archaeological_site","undefined",-1.6903459,51.1161585
"node/308966336","archaeological_site","undefined",-1.674608,51.113534
"node/308966762","archaeological_site","Long Barrow",-1.6415967,51.1442347
"node/309439527","archaeological_site","Römischer Brückenkopf",7.7236304,47.5433949
"node/309602630","archaeological_site","Thiesenfelsen",11.6842204,50.05514
"node/309716084","archaeological_site","Leugensäule",8.6322125,49.4518916
"node/309743389","archaeological_site","Dolmen Er Boglieux",-2.8578048,47.5713364
"node/309748867","archaeological_site","Cromlech",-2.851469,47.5907772
"node/310128637","archaeological_site","Castell Henllys Iron Age Hill Fort",-4.7452574,52.0179839
"node/310399355","archaeological_site","Burg Ravensberg",8.2969437,52.0830954
"node/310407269","archaeological_site","undefined",8.4568258,47.5383429
"node/310427034","archaeological_site","Hügelgrab",8.8453179,47.7420161
"node/310427246","archaeological_site","Hügelgrab",8.8449745,47.7414851
"node/310450359","archaeological_site","Hügelgrab",8.8459787,47.7420115
"node/311270564","archaeological_site","Dolmen de Chez Moutaud",0.9645063,45.8265527
"node/311312800","archaeological_site","Sudenburger Tor",11.6316333,52.1252253
"node/311780216","archaeological_site","Spicher Hohlstein",7.1361383,50.8249042
"node/311924826","archaeological_site","Romeinse wachttoren",4.9971989,52.0907393
"node/311924895","archaeological_site","Romeinse wachttoren",5.005018,52.0913405
"node/311998685","archaeological_site","undefined",10.1003045,49.7386065
"node/312026324","archaeological_site","Grabhügel",7.6952557,47.936904
"node/312026351","archaeological_site","Grabhügel",7.695181,47.9373318
"node/312412928","archaeological_site","Battle of Sedgemoor (1685)",-2.9192133,51.122067
"node/312513648","archaeological_site","Hünengräber",10.9167464,52.1442337
"node/312514344","archaeological_site","Elmsburg",10.9196625,52.1442117
"node/312999032","archaeological_site","Goldbichl",11.4188144,47.2162752
"node/313354455","archaeological_site","Villa Romana",-3.6187991,40.3079654
"node/313425021","archaeological_site","Keltengrab",9.0198328,48.4912989
"node/313686163","archaeological_site","Beehive Huts",-10.421377,52.1016151
"node/313720153","archaeological_site","Hill Fort",-1.5065644,51.1899289
"node/313720541","archaeological_site","undefined",-1.5263561,51.2117793
"node/313720636","archaeological_site","Roman Building",-1.4299623,51.2179763
"node/313720684","archaeological_site","undefined",-1.4393179,51.238777
"node/313720722","archaeological_site","undefined",-1.4380304,51.2392069
"node/313720912","archaeological_site","Roman Building",-1.035227,51.1402802
"node/313931726","archaeological_site","Keltenwall",7.2832246,47.1080874
"node/314106123","archaeological_site","Pierre de la Fée",6.4531856,43.544981
"node/314395039","archaeological_site","Opfersteine",8.9613053,51.9229622
"node/314395074","archaeological_site","Opferstein",8.95595,51.9271036
"node/314424934","archaeological_site","Roman Aqueduct",7.7239573,47.5212842
"node/315092407","archaeological_site","Archäologischer Schauplatz Kappelhof",8.7124927,48.891264
"node/315580219","archaeological_site","Hühnenburg",10.846793,52.0878871
"node/315870656","archaeological_site","Ehem. Kirche von Mundingen",7.8544515,48.1367567
"node/315896052","archaeological_site","Heidenkönigsküppel",9.4211658,51.3484505
"node/315979681","archaeological_site","Kalkbrennofen",11.376069,49.5451635
"node/316054944","archaeological_site","Scavi archeologici di Libarna",8.8662824,44.7053076
"node/316138753","archaeological_site","undefined",-0.3501273,51.2277328
"node/316530856","archaeological_site","undefined",-3.9512886,50.5310396
"node/316556066","archaeological_site","Burgstall",11.1681453,49.7796835
"node/316624278","archaeological_site","Garnwnda Burial Chamber",-5.0111765,52.0114415
"node/317261378","archaeological_site","Römische Wasserleitung",8.8623299,48.4636453
"node/317479080","archaeological_site","Dos Castel",11.083973,46.181133
"node/317925006","archaeological_site","Margam Abbey",-3.73009,51.562599
"node/318330728","archaeological_site","Jaciment paleontològic de la Posa (dinosaures)",1.0768187,42.1262731
"node/318365763","archaeological_site","Schalksburg",10.5018291,52.0956312
"node/318420710","archaeological_site","Julióbriga",-4.115322,42.9862778
"node/318500646","archaeological_site","Keltischer Ringwall",7.2585268,49.776809
"node/319511380","archaeological_site","Old Guild Hall",-3.4859641,51.4080919
"node/319993790","archaeological_site","Tempel Ilkahöhe",11.2469429,47.8999307
"node/320196261","archaeological_site","Hügelgräber",6.7916697,51.0517535
"node/320634331","archaeological_site","Chiusa di Leonardo",9.1429169,45.3808116
"node/321007223","archaeological_site","Wallanlagen Heeßeler Burg",9.9807485,52.4398256
